userid,title,estatetype,address,ward,district,city,area,price,description,roomnum,restroom,electricity,water,wifi,ultility,rented,created,updated,expired
2,"Bán đất Xã Mai Lâm, Huyện Đông Anh HN",0,Đường Lê Xá,Xã Mai Lâm,Huyện Đông Anh,Hà Nội,66.0,250000.0,"Tôi có lô đất đã có sổ đỏ tại Thôn Lê Xá, Xã Mai Lâm, Huyện Đông Anh
Vị trí gần cầu Đông Trù
Đường trước nhà 3m
Diện tích cực đẹp : 66.6m2 mặt tiền 5.5m
Giá bán : 38 triệu/m2
Có ra lộc cho người mua thiện chí giao dịch
Tôi chính chủ của lô đất, thật sự cũng không có nhiều thời gian dẫn khách đi xem đất nên tôi có up ảnh đường đi vào lô đất theo thứ tự để người xem có cái nhìn tổng quát nhất
Cảm ơn đã đọc tin !",4,chung,2000,10000,Có là được,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-23 21:44:00.231969
1,Bán nhà Thanh Xuân gần ĐH Nhân Văn kinh doanh tốt,1,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,70.0,1150000.0,"Bán nhà đường Nguyễn Trãi quận Thanh Xuân gần ĐH Nhân Văn
DT 70m2, 5 tầng, 3 ngủ, tầng 1 kinh doanh
Nhà cách mặt đường Nguyễn Trãi 10m, lô góc 3 thoáng, mặt ngõ 6m ô tô tránh thoải mái,  mua vừa ở, vừa kinh doanh tốt
Các phố lân cận Nguyễn Tuân - Vũ Trọng Phụng
Sổ đỏ chính chủ. Giá 11.5 tỷ
Liên hệ Mr Mạnh để xem nhà",3,không có,2000,8000,natD,hasagi,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-23 21:44:00.231969
2,Siêu đẹp nhà thông ra nguyễn xiển,1,Đường Khương Đình,Phường Khương Đình,Quận Thanh Xuân,Hà Nội,40.0,700000.0,"NHÀ ĐẸP - GARA Ô TÔ - FULL NỘI THẤT - TIỆN ÍCH
KHƯƠNG ĐÌNH
Mô tả: 
+
+ ngõ Hoàng Đạo Thành, ngõ ô tô.
+ Nhà mới đẹp, ô tô vào nhà, đường trước nhà hai ô tô tránh, ngay dưới chân chung cư, cạnh Five stars.
+ Cạnh là bể bơi, bãi để xe, trường học Kim Giang, Hạ Đình, vài bước đi bộ ra hồ Hạ Đình.
+ Nhà xây mới 5 tầng, thiết kế hiện đại, full nội thất xịn sò (giường, tủ, bàn, ghế, điều hoà):
- T1: Ga ra + VS.
- T2: Phòng khách, bếp + VS.
- T3, 4: 4 phòng ngủ + 2VS.
- T5: Sân phơi + sân phơi.
+ Sổ đỏ chính chủ, cất két sẵn giao dịch. 

mr:Sơn 097196 tám tám tám 3",3,không có,3000,9000,natB,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-24 21:44:00.231969
2,CHÍNH CHỦ CẦN BÁN NHÀ 33M2 MP TRẦN ĐĂNG NINH,1,Đường Trần Đăng Ninh,Phường Quang Trung,Quận Hà Đông,Hà Nội,33.0,540000.0,"CHÍNH CHỦ CẦN BÁN PHỐ 159 TRẦN ĐĂNG NINH - HÀ ĐÔNG NHÀ 5 TẦNG ( DO CÓ NHU CẦU CHUYỂN RA MẶT PHỐ TO ĐỂ KINH DOANH )
❌ GIÁ 5,x tỷ có thương lượng ạ 
NHÀ 3 OTO TRÁNH NHAU THOẢI MÁI - VỈA HÈ RỘNG - DIỆN TÍCH TRONG SỔ 33m2 - THỰC TẾ SỬ DỤNG 40M2 -  KHU AN NINH TỐT ĐỖ XE OTO Ở CỬA CẢ ĐÊM THOẢI MÁI
- Nhà xây tâm huyết chắc chắn, nhà như mới, cửa và cầu thang toàn gỗ Lim rất dày và đẹp.
NỘI THẤT TRONG NHÀ TOÀN GỖ ,ĐỂ LẠI HẾT CHO AI CÓ THIỆN TRÍ
- Thiết kế nhà cực kỳ hợp lý:
+ Tầng 1: Để xe + bếp + vệ sinh cuối ( sau nhà còn 1 trống )
+ Tổng 5 phòng ngủ rộng đẹp 
+ 1 phòng thờ + 1 phòng phơi đồ
- Xung quanh nhà tiện ích vô cùng - GẦN MÊTRO , CHỢ HÀ ĐÔNG, Quang trung , Đi lại thuận tiện",1,chung,3000,10000,natD,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-11 21:44:00.231969
1,"Nhà Phố Trạm, Aeon mall 5 Tầng, Ôtô Đỗ, Kinh Doanh",1,Phố Trạm,Phường Long Biên,Quận Long Biên,Hà Nội,42.0,360000.0,"Nhà Mới Phố Trạm, Aeon mall 5 Tầng, Ngõ 3.5m Ô tô Đỗ Cửa, Chỉ 3.6 tỷ
- Diện tích 42m2 mặt tiền 3.5m hậu nở 3.9m hướng đông bắc.
- Ngõ trước nhà 3.5m ô tô đỗ cửa, cách 5m ra đường ô tô tránh.
- Nhà thiết kế 5 tầng, 3 phòng ngủ, 1 phòng thờ, sân phơi.
- Vị trí nhà tại phố trạm, Ngay cạnh Aoen, Lên cầu vĩnh tuy chỉ 1p, sang nội thành 5p, giao thông thuận tiện.
- Cam kết sổ đỏ chính chủ, ko tranh chấp, quy hoạch, đầy đủ nội thất gắn tường.
Giá 3.6 tỷ (có thương lượng)
Liên hệ: Mr Tùng 0912 017 115 để đi xem nhà trực tiếp và miễn phí",3,không có,3000,8000,natD, gần BV tâm thần kinh,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-05 21:44:00.231969
1,Đất 85m oto chạy như phố xây VP hay chia 2 lô đều,0,Đường Hoàng Đạo Thành,Phường Kim Giang,Quận Thanh Xuân,Hà Nội,85.0,595000.0,"💥💥💥💥💥CỰC HIẾM - Ô TÔ ĐUA - CÁCH MẶT PHỐ 39M - KINH DOANH VĂN PHÒNG ĐỈNH - DÂN TRÍ CAO - AN SINH CAO - LÔ ĐẤT CÒN SÓT LẠI DUY NHẤT💥💥💥💥

 Hoàng Đạo Thành rẻ đẹp nhất quận Thanh Xuân

Đất  85m  Mt 9m 

Mô tả:

+ Mảnh đất hiếm nằm ở vị trí trung tâm quận Thanh Xuân, Phố Hoàng Đạo Thành được quy hoạch ổn định, ngõ nào cũng đẹp. Khu dân trí cao, anh sinh cao. 

+ Quận Thanh Xuân đang phát triển, xung quanh nhà hạ tầng đã ổn định đẹp. Gần cum trường chuẩn quốc gia mầm non, tiểu học, THCS Kim Giang. Chợ, TTTM vây kín. 

+ Sổ đỏ chuẩn pháp lý:",1,không có,2000,11000,Ổn định, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-27 21:44:00.231969
2,Khách sạn 10p đang kinh doanh tốt phố giảng võ,2,Đường Giảng Võ,Phường Cát Linh,Quận Đống Đa,Hà Nội,50.0,1450000.0,"Chính chủ bán khách sạn mini 10p 6 tầng có thang máy. Nội thất cao cấp. Khách sạn đang hoạt động kinh doanh tốt nhưng cần bán gấp trong tháng do cần tiền giải quyết việc riêng. Đầy đủ các loại giấy phép đkkd, pccc, antt.",2,không có,3000,9000,Nhanh hơn cách người yêu cũ trở mặt,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-26 21:44:00.231969
2,NHÀ ÁI MỘ-NGÕ Ô TÔ THÔNG- NHÀ ĐẸP 45M2 CHỈ:4.35 TỶ,1,Đường Ái Mộ,Phường Bồ Đề,Quận Long Biên,Hà Nội,45.0,435000.0,"💥💥💥 ÁI MỘ - NGÕ Ô TÔ THÔNG - GẦN PHỐ - NHÀ ĐẸP - Ở NGAY 🌺🌺🌺

Mô tả:
+ Vị trí đắc địa, khu lõi Long Biên, đang dc săn tìm nhất tiện ích xung quanh bạt ngàn, ngõ rộng, thông, Nguyễn Văn Cừ, đi lại sinh hoạt tiện lợi.

+ Nhà dân xây 4 tầng đủ nội thất, chỉ việc xách vali về ở.

Tầng 1: Pk + Bếp và Wc
Tầng 2,3: Mỗi tầng 2PN và Wc
Tầng 4: Phòng thờ và sân phơi.

+ Sổ đỏ chính chủ, giao dịch trong vòng nốt nhạc.
LH: Đình Khanh",2,riêng,3000,10000,Có là được,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-13 21:44:00.231969
1,Đất thổ cư chính chủ,0,Đại áng,Xã Đại áng,Huyện Thanh Trì,Hà Nội,61.0,130000.0,"Dự án: Thổ cư.
          Thông tin chi tiết: Ngõ rộng ô tô vào tân đất. Gần trường học và đường thông. Ra đường to thông lên Hà Đông 10p xe máy.còn nhiều tiện nghi khác
Liên hệ :. Quang 30 tuổi",3,chung,3000,11000,Ổn định,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-10 21:44:00.231969
1,Bán nhà Nguyễn Trãi Thanh Xuân Royal City gần phố,1,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,33.0,325000.0,"Bán nhà đường Nguyễn Trãi phường Thượng Đình quận Thanh Xuân gần TTM Royal City
DT 33m2, 5 tầng, 3 ngủ, chủ tự xây vài năm, thiết kế hiện đại ( xem ảnh)
Vị trí cách mặt đường Nguyễn Trãi 50m, ngõ thông phố Cự Lộc - Chính Kinh
Sổ đỏ bánh trưng. Chủ nhà thiện chí. Giá 3 tỷ 250 triệu.
Liên hệ ngay xem nhà miễn phí
Mr Mạnh chuyên thổ cư quận Thanh Xuân",1,chung,3000,11000,Ổn định,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-14 21:44:00.231969
